Gravity Vector < 0.000000, 0.000000, 1.000000 > 
Magnetic Vector < 0.000000, 1.000000, 0.000000 > 
78.198348 ,  0 , < 0.076965, 5.858822, 0.059925 >, < 0.076498, 5.856881 , 0.129325 > <0.015948, -0.135509, 0.990648>, < 0.077765 , 5.853391 , 0.154500 >
78.215005 ,  0 , < 0.076994, 5.858800, 0.059934 >, < 0.076515, 5.856821 , 0.129346 > <0.009506, -0.142073, 0.989810>, < 0.077717 , 5.853403 , 0.154473 >
78.231662 ,  0 , < 0.077028, 5.858830, 0.059900 >, < 0.076479, 5.856830 , 0.129300 > <0.004630, -0.135293, 0.990795>, < 0.077624 , 5.853316 , 0.154373 >
78.248319 ,  0 , < 0.077032, 5.858858, 0.059879 >, < 0.076491, 5.856874 , 0.129478 > <0.003083, -0.131661, 0.991290>, < 0.077648 , 5.853337 , 0.154294 >
78.264976 ,  0 , < 0.077001, 5.858853, 0.059921 >, < 0.076505, 5.856928 , 0.129286 > <0.009760, -0.141777, 0.989850>, < 0.077532 , 5.853357 , 0.154208 >
78.281633 ,  0 , < 0.077004, 5.858834, 0.059882 >, < 0.076475, 5.857033 , 0.129038 > <0.012180, -0.158833, 0.987230>, < 0.077612 , 5.853380 , 0.154180 >
78.298290 ,  0 , < 0.077041, 5.858784, 0.059912 >, < 0.076518, 5.856985 , 0.129190 > <0.005849, -0.153982, 0.988056>, < 0.077683 , 5.853370 , 0.154210 >
78.314947 ,  0 , < 0.077065, 5.858764, 0.059936 >, < 0.076545, 5.856910 , 0.129327 > <0.001713, -0.145618, 0.989339>, < 0.077598 , 5.853357 , 0.154241 >
78.331604 ,  0 , < 0.076972, 5.858741, 0.059880 >, < 0.076480, 5.856905 , 0.129248 > <-0.006759, -0.142856, 0.989720>, < 0.077537 , 5.853333 , 0.154406 >
78.348260 ,  0 , < 0.076941, 5.858774, 0.059892 >, < 0.076494, 5.856915 , 0.129200 > <-0.001600, -0.132348, 0.991202>, < 0.077564 , 5.853346 , 0.154418 >
78.364918 ,  0 , < 0.077004, 5.858823, 0.059920 >, < 0.076500, 5.856901 , 0.129392 > <0.012334, -0.135459, 0.990706>, < 0.077718 , 5.853396 , 0.154221 >
78.381575 ,  0 , < 0.076995, 5.858851, 0.059900 >, < 0.076450, 5.856942 , 0.129304 > <0.005790, -0.151450, 0.988448>, < 0.077639 , 5.853371 , 0.154150 >
78.398232 ,  0 , < 0.077057, 5.858836, 0.059872 >, < 0.076475, 5.856948 , 0.129148 > <0.006853, -0.142064, 0.989834>, < 0.077814 , 5.853337 , 0.154065 >
78.414889 ,  0 , < 0.077104, 5.858802, 0.059909 >, < 0.076483, 5.856880 , 0.129513 > <0.013613, -0.135249, 0.990718>, < 0.077899 , 5.853320 , 0.154034 >
78.431546 ,  0 , < 0.077048, 5.858793, 0.059972 >, < 0.076469, 5.856979 , 0.129197 > <0.020922, -0.128016, 0.991551>, < 0.077804 , 5.853296 , 0.154206 >
78.448203 ,  0 , < 0.077004, 5.858789, 0.059980 >, < 0.076492, 5.857041 , 0.128983 > <0.020751, -0.134953, 0.990635>, < 0.077791 , 5.853328 , 0.154160 >
78.464860 ,  0 , < 0.077034, 5.858836, 0.059934 >, < 0.076488, 5.856985 , 0.129025 > <0.016760, -0.130019, 0.991370>, < 0.077851 , 5.853387 , 0.154231 >
78.481517 ,  0 , < 0.076979, 5.858821, 0.059901 >, < 0.076481, 5.856932 , 0.129154 > <0.016516, -0.128702, 0.991546>, < 0.077765 , 5.853346 , 0.154411 >
78.498175 ,  0 , < 0.076968, 5.858814, 0.059908 >, < 0.076525, 5.856886 , 0.129261 > <0.006336, -0.132829, 0.991119>, < 0.077693 , 5.853339 , 0.154364 >
78.514832 ,  0 , < 0.077042, 5.858836, 0.059928 >, < 0.076553, 5.856843 , 0.129367 > <-0.000292, -0.127536, 0.991834>, < 0.077788 , 5.853359 , 0.154282 >
78.531489 ,  0 , < 0.077026, 5.858810, 0.059905 >, < 0.076542, 5.856840 , 0.129470 > <0.012190, -0.126223, 0.991927>, < 0.077711 , 5.853338 , 0.154408 >
78.548146 ,  0 , < 0.076991, 5.858760, 0.059875 >, < 0.076533, 5.856869 , 0.129403 > <0.007477, -0.119386, 0.992820>, < 0.077530 , 5.853354 , 0.154425 >
78.564803 ,  0 , < 0.077023, 5.858833, 0.059937 >, < 0.076549, 5.856897 , 0.129337 > <0.006462, -0.123499, 0.992324>, < 0.077525 , 5.853349 , 0.154379 >
78.581460 ,  0 , < 0.077027, 5.858824, 0.059966 >, < 0.076506, 5.856886 , 0.129274 > <0.010188, -0.137981, 0.990382>, < 0.077639 , 5.853399 , 0.154374 >
78.598117 ,  0 , < 0.076983, 5.858807, 0.059992 >, < 0.076455, 5.856852 , 0.129490 > <0.009437, -0.144805, 0.989415>, < 0.077570 , 5.853363 , 0.154384 >
78.614773 ,  0 , < 0.077013, 5.858769, 0.059916 >, < 0.076508, 5.856918 , 0.129192 > <0.018200, -0.149903, 0.988533>, < 0.077760 , 5.853458 , 0.154463 >
78.631430 ,  0 , < 0.076940, 5.858861, 0.059955 >, < 0.076516, 5.856897 , 0.129350 > <0.013190, -0.139958, 0.990070>, < 0.077688 , 5.853350 , 0.154165 >
78.648088 ,  0 , < 0.076940, 5.858874, 0.059933 >, < 0.076507, 5.856884 , 0.129446 > <0.011956, -0.138589, 0.990278>, < 0.077624 , 5.853298 , 0.153997 >
78.664745 ,  0 , < 0.077004, 5.858827, 0.059880 >, < 0.076495, 5.856852 , 0.129488 > <0.010947, -0.150893, 0.988489>, < 0.077715 , 5.853321 , 0.154289 >
78.681402 ,  0 , < 0.076993, 5.858807, 0.059925 >, < 0.076505, 5.856868 , 0.129436 > <0.011291, -0.153013, 0.988160>, < 0.077799 , 5.853313 , 0.154343 >
78.698059 ,  0 , < 0.076987, 5.858786, 0.059913 >, < 0.076485, 5.856919 , 0.129246 > <0.013166, -0.148179, 0.988873>, < 0.077830 , 5.853314 , 0.154212 >
78.714716 ,  0 , < 0.077090, 5.858806, 0.059907 >, < 0.076522, 5.856908 , 0.129220 > <0.009930, -0.140335, 0.990054>, < 0.077872 , 5.853332 , 0.154395 >
78.731373 ,  0 , < 0.077112, 5.858800, 0.059899 >, < 0.076530, 5.856878 , 0.129311 > <0.008596, -0.139639, 0.990165>, < 0.077914 , 5.853349 , 0.154506 >
78.748030 ,  0 , < 0.076991, 5.858805, 0.059932 >, < 0.076574, 5.856894 , 0.129173 > <0.002697, -0.147583, 0.989046>, < 0.077856 , 5.853379 , 0.154389 >
78.764690 ,  0 , < 0.077027, 5.858825, 0.059876 >, < 0.076574, 5.856864 , 0.129161 > <0.005650, -0.140552, 0.990057>, < 0.077791 , 5.853398 , 0.154381 >
78.781345 ,  0 , < 0.077045, 5.858820, 0.059772 >, < 0.076535, 5.856833 , 0.129237 > <0.009514, -0.140202, 0.990077>, < 0.077768 , 5.853385 , 0.154375 >
78.798002 ,  0 , < 0.076975, 5.858753, 0.059776 >, < 0.076487, 5.856802 , 0.129377 > <-0.004059, -0.144868, 0.989443>, < 0.077773 , 5.853355 , 0.154340 >
78.814659 ,  0 , < 0.077002, 5.858752, 0.059935 >, < 0.076537, 5.856881 , 0.129417 > <0.011207, -0.129375, 0.991532>, < 0.077806 , 5.853413 , 0.154221 >
78.831316 ,  0 , < 0.077029, 5.858793, 0.059990 >, < 0.076527, 5.856923 , 0.129295 > <0.017173, -0.123510, 0.992195>, < 0.077801 , 5.853388 , 0.154206 >
78.847973 ,  0 , < 0.077050, 5.858816, 0.059952 >, < 0.076483, 5.856928 , 0.129254 > <0.009050, -0.135761, 0.990700>, < 0.077694 , 5.853317 , 0.154194 >
78.864630 ,  0 , < 0.077038, 5.858779, 0.059947 >, < 0.076501, 5.856916 , 0.129356 > <0.004216, -0.152682, 0.988266>, < 0.077635 , 5.853345 , 0.154133 >
78.881286 ,  0 , < 0.077030, 5.858768, 0.059942 >, < 0.076554, 5.856929 , 0.129292 > <0.005810, -0.144814, 0.989442>, < 0.077803 , 5.853385 , 0.154098 >
78.897943 ,  0 , < 0.077048, 5.858761, 0.059987 >, < 0.076510, 5.856889 , 0.129253 > <0.011315, -0.133616, 0.990969>, < 0.077867 , 5.853340 , 0.154204 >
78.914601 ,  0 , < 0.077072, 5.858806, 0.059918 >, < 0.076527, 5.856801 , 0.129212 > <0.015058, -0.141805, 0.989780>, < 0.077855 , 5.853340 , 0.154254 >
78.931258 ,  0 , < 0.077066, 5.858894, 0.059872 >, < 0.076534, 5.856826 , 0.129347 > <0.011404, -0.147396, 0.989012>, < 0.077786 , 5.853412 , 0.154291 >
78.947915 ,  0 , < 0.077065, 5.858859, 0.059935 >, < 0.076479, 5.856894 , 0.129358 > <0.007657, -0.146381, 0.989199>, < 0.077842 , 5.853414 , 0.154432 >
78.964572 ,  0 , < 0.077050, 5.858862, 0.059978 >, < 0.076517, 5.856926 , 0.129300 > <0.015210, -0.141706, 0.989792>, < 0.077824 , 5.853388 , 0.154234 >
78.981229 ,  0 , < 0.077065, 5.858850, 0.059979 >, < 0.076512, 5.856855 , 0.129195 > <0.008874, -0.149143, 0.988776>, < 0.077521 , 5.853377 , 0.154279 >
78.997886 ,  0 , < 0.076992, 5.858799, 0.059915 >, < 0.076486, 5.856921 , 0.129068 > <0.013517, -0.134162, 0.990867>, < 0.077679 , 5.853361 , 0.154344 >
79.014543 ,  0 , < 0.076979, 5.858781, 0.059906 >, < 0.076487, 5.856960 , 0.128962 > <0.006985, -0.130156, 0.991469>, < 0.077892 , 5.853334 , 0.154288 >
79.031200 ,  0 , < 0.077007, 5.858811, 0.059955 >, < 0.076474, 5.856907 , 0.129252 > <-0.001005, -0.137108, 0.990556>, < 0.077879 , 5.853353 , 0.154278 >
