umax,d_umax,T,mean_step_time,max_step_time,nan_detected,unbounded_detected,fail_index
0.05,0.01,10,0.04435159149579704,0.07540244300616905,False,False,-1
0.1,0.01,10,0.07720393519266508,0.19216215598862618,False,False,-1
