dataset_name,init_mode,max_tip_error,mean_tip_error,max_residual_norm,convergence_rate,y_c3_sign_agreement_rate
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,38.902369680588706,0.7017997853558229,0.039274486685837925,0.99375,nan
dyn_fk_lem1_y40_a10_L94_hold1.npz,warm,38.902369680588706,0.7017997853558229,0.039274486685837925,0.99375,nan
dyn_fk_lem1_y40_a10_L94_hold1.npz,workspace,38.902369680588706,0.7017997853558229,0.039274486685837925,0.99375,nan
dyn_fk_lem1_y40_a10_L94_hold1.npz,equilibrium_seed,3.2262848275384792,0.09525711498113318,0.03808485413970769,0.990625,nan
dyn_fk_lem1_y40_a10_L94_hold2.npz,zero,38.902369680588706,0.34815587591775976,0.044395832842621365,0.996875,nan
dyn_fk_lem1_y40_a10_L94_hold2.npz,warm,38.902369680588706,0.34815587591775976,0.044395832842621365,0.996875,nan
dyn_fk_lem1_y40_a10_L94_hold2.npz,workspace,38.902369680588706,0.34815587591775976,0.044395832842621365,0.996875,nan
dyn_fk_lem1_y40_a10_L94_hold2.npz,equilibrium_seed,3.398445311132701,0.04966757039462333,0.048294315063786356,0.9953125,nan
dyn_fk_lem1_y40_a10_hold1.npz,zero,38.90261583650422,0.7018920621512722,0.039274486685837925,0.99375,nan
dyn_fk_lem1_y40_a10_hold1.npz,warm,38.90261583650422,0.7018920621512722,0.039274486685837925,0.99375,nan
dyn_fk_lem1_y40_a10_hold1.npz,workspace,38.90261583650422,0.7018920621512722,0.039274486685837925,0.99375,nan
dyn_fk_lem1_y40_a10_hold1.npz,equilibrium_seed,3.3535003280499054,0.09416515582225427,0.03808485413970769,0.990625,nan
dyn_fk_lem1_y40_a10_hold2.npz,zero,38.90261583650422,0.3429717448717095,0.044395832842621365,0.996875,nan
dyn_fk_lem1_y40_a10_hold2.npz,warm,38.90261583650422,0.3429717448717095,0.044395832842621365,0.996875,nan
dyn_fk_lem1_y40_a10_hold2.npz,workspace,38.90261583650422,0.3429717448717095,0.044395832842621365,0.996875,nan
dyn_fk_lem1_y40_a10_hold2.npz,equilibrium_seed,3.399041010488296,0.04414747717238034,0.048294315063786356,0.9953125,nan
dyn_fk_ramp_circle1_hold1.npz,zero,38.902369680588706,0.6368615626091051,0.028992887324571937,0.99375,nan
dyn_fk_ramp_circle1_hold1.npz,warm,38.902369680588706,0.6368615626091051,0.028992887324571937,0.99375,nan
dyn_fk_ramp_circle1_hold1.npz,workspace,38.902369680588706,0.6368615626091051,0.028992887324571937,0.99375,nan
dyn_fk_ramp_circle1_hold1.npz,equilibrium_seed,3.357885535111348,0.08553782364316234,0.029259496896763517,0.990625,nan
dyn_fk_ramp_circle1_hold2.npz,zero,38.90261583650422,0.3267143812328618,0.025451375651908904,0.99375,nan
dyn_fk_ramp_circle1_hold2.npz,warm,38.90261583650422,0.3267143812328618,0.025451375651908904,0.99375,nan
dyn_fk_ramp_circle1_hold2.npz,workspace,38.90261583650422,0.3267143812328618,0.025451375651908904,0.99375,nan
dyn_fk_ramp_circle1_hold2.npz,equilibrium_seed,3.39585824777689,0.04182057047855099,0.022889774505422244,0.996875,nan
workspace_fk_ins94.3,workspace,nan,nan,nan,nan,0.9479207510760812
